type,dateTime,gameMode,player,pl_tag,pl_crowns,pl_deck,opponent,op_tag,op_crowns,op_deck
friendly,20221108T105759.000Z,Draft_Competitive,thegod_rf,#228RR0GR,2,Executioner;Ice Spirit;Lightning;Mother Witch;Phoenix;Royal Ghost;Royal Hogs;The Log,CMG ah craaaap,#2PLQLRGQR,0,Dart Goblin;Electro Wizard;Fireball;Knight;Rage;Royal Delivery;Skeletons;Wall Breakers
friendly,20221108T105349.000Z,Draft_Competitive,thegod_rf,#228RR0GR,1,Battle Ram;Earthquake;Furnace;Miner;Musketeer;Phoenix;Royal Delivery;Skeletons,CMG ah craaaap,#2PLQLRGQR,0,Baby Dragon;Elite Barbarians;Freeze;Heal Spirit;Minions;Royal Hogs;The Log;Valkyrie
friendly,20221108T104751.000Z,Draft_Competitive,thegod_rf,#228RR0GR,0,Bandit;Barbarian Barrel;Earthquake;Miner;Mortar;Princess;Skeletons;Witch,CMG ah craaaap,#2PLQLRGQR,1,Archers;Arrows;Elixir Collector;Fireball;Phoenix;Rascals;Royal Hogs;Tombstone
friendly,20221108T104345.000Z,Draft_Competitive,thegod_rf,#228RR0GR,1,Bomber;Fireball;Giant Snowball;Goblin Drill;Ice Spirit;Phoenix;Valkyrie;Wizard,CMG ah craaaap,#2PLQLRGQR,0,Cannon Cart;Dark Prince;Fire Spirit;Flying Machine;Graveyard;Inferno Dragon;Poison;Tornado
friendly,20221108T103735.000Z,Draft_Competitive,thegod_rf,#228RR0GR,1,Barbarian Barrel;Electro Wizard;Fire Spirit;Flying Machine;Furnace;Rascals;Rocket;Royal Hogs,CMG ah craaaap,#2PLQLRGQR,0,Balloon;Bats;Earthquake;Fisherman;Guards;Magic Archer;P.E.K.K.A;Tornado
friendly,20221108T103122.000Z,Draft_Competitive,thegod_rf,#228RR0GR,1,Elite Barbarians;Fireball;Flying Machine;Golem;Night Witch;Phoenix;Skeleton Army;The Log,CMG ah craaaap,#2PLQLRGQR,0,Barbarian Barrel;Bomber;Goblin Gang;Inferno Dragon;Mega Minion;Mortar;Rocket;Tesla
friendly,20221108T102641.000Z,Draft_Competitive,thegod_rf,#228RR0GR,1,Arrows;Baby Dragon;Dark Prince;Elixir Golem;Furnace;Minions;Poison;Tombstone,CMG ah craaaap,#2PLQLRGQR,0,Barbarian Barrel;Inferno Dragon;Lightning;P.E.K.K.A;Phoenix;Ram Rider;Royal Ghost;Skeletons
friendly,20221108T102011.000Z,Draft_Competitive,thegod_rf,#228RR0GR,3,Barbarian Barrel;Battle Ram;Dart Goblin;Fisherman;Night Witch;P.E.K.K.A;Poison;Zappies,CMG ah craaaap,#2PLQLRGQR,0,Archers;Battle Healer;Bowler;Goblin Cage;Hunter;Lightning;Royal Delivery;Royal Giant
friendly,20221108T101650.000Z,Draft_Competitive,thegod_rf,#228RR0GR,2,Dark Prince;Electro Spirit;Executioner;Mortar;Mother Witch;Rocket;Spear Goblins;The Log,CMG ah craaaap,#2PLQLRGQR,1,Arrows;Bandit;Guards;Lava Hound;Lightning;Miner;Phoenix;Skeleton Dragons
friendly,20221108T101145.000Z,Draft_Competitive,thegod_rf,#228RR0GR,1,Cannon;Cannon Cart;Fire Spirit;Freeze;Giant Snowball;Graveyard;Musketeer;Phoenix,CMG ah craaaap,#2PLQLRGQR,0,Bowler;Goblin Drill;Guards;Inferno Tower;Poison;Princess;The Log;Zappies
challenge,20221108T100622.000Z,Challenge_AllCards_EventDeck,thegod_rf,#228RR0GR,0,Bomb Tower;Goblin Gang;Ice Spirit;Miner;Monk;Phoenix;Poison;The Log,ミゲル,#VJQQQQ0V,1,Barbarian Barrel;Dark Prince;Electro Dragon;Elixir Collector;Golem;Lumberjack;Phoenix;Tornado
challenge,20221108T100246.000Z,Challenge_AllCards_EventDeck,thegod_rf,#228RR0GR,1,Bomb Tower;Goblin Gang;Ice Spirit;Miner;Monk;Phoenix;Poison;The Log,The Flash,#9P92U82C0,0,Bandit;Battle Ram;Electro Wizard;Fireball;Magic Archer;P.E.K.K.A;Royal Ghost;Zap
challenge,20221108T094455.000Z,Challenge_AllCards_EventDeck,thegod_rf,#228RR0GR,1,Bomb Tower;Goblin Gang;Ice Spirit;Miner;Monk;Phoenix;Poison;The Log,烟火lands,#C0C2JVRJY,0,Barbarian Barrel;Graveyard;Ice Wizard;Phoenix;Poison;Skeleton King;Tombstone;Tornado
challenge,20221108T093944.000Z,Challenge_AllCards_EventDeck,thegod_rf,#228RR0GR,1,Bomb Tower;Goblin Gang;Ice Spirit;Miner;Monk;Phoenix;Poison;The Log,어니스트리거,#Q0V0PY00L,0,Barbarian Barrel;Electro Dragon;Ice Wizard;Monk;Poison;Ram Rider;Skeletons;Tornado
friendly,20221108T063047.000Z,Draft_Competitive,thegod_rf,#228RR0GR,1,Arrows;Bats;Fireball;Fisherman;Goblin Gang;Inferno Dragon;Mini P.E.K.K.A;Royal Hogs,airsurfer,#P8VUY20C,0,Battle Healer;Giant Snowball;Graveyard;Guards;Inferno Tower;Minions;Musketeer;Poison
pathOfLegend,20221109T172205.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,white1337,#GUCVJUY8,0,Bowler;Freeze;Graveyard;Ice Wizard;Mega Minion;Phoenix;Skeleton Army;Tornado
pathOfLegend,20221109T171851.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,Абдула86,#2RGY08UU0,0,Baby Dragon;Barbarian Barrel;Electro Wizard;Fireball;Graveyard;Mother Witch;P.E.K.K.A;Tornado
pathOfLegend,20221109T171426.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,❤️Pitot Tube✈️,#G02VJ22,0,Bomb Tower;Goblins;Ice Spirit;Miner;Monk;Phoenix;Poison;The Log
pathOfLegend,20221109T170907.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,KONING WILLY,#290P92QVJ,0,Bomb Tower;Goblin Gang;Ice Spirit;Miner;Monk;Phoenix;Poison;The Log
pathOfLegend,20221109T170509.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,3,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,ZehaymeR,#GY2LV2QR,0,Baby Dragon;Barbarian Barrel;Golem;Ice Wizard;Lightning;Night Witch;Skeleton King;Tornado
pathOfLegend,20221109T170226.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,babi,#2PP9CJ8,0,Arrows;Bandit;Earthquake;Ice Wizard;Mini P.E.K.K.A;Musketeer;Prince;Valkyrie
pathOfLegend,20221109T072536.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,SUP3R BUU,#P88QJQPUG,0,Arrows;Baby Dragon;Barbarians;Clone;Flying Machine;Goblin Gang;Lava Hound;Skeleton Barrel
pathOfLegend,20221109T072157.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,Archives,#822URC0QU,0,Bandit;Battle Ram;Electro Wizard;Fireball;Magic Archer;P.E.K.K.A;Royal Ghost;Zap
pathOfLegend,20221109T071804.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,o.t.n.k,#8Y2R9RYG,0,Electro Dragon;Electro Giant;Elixir Collector;Mirror;Phoenix;The Log;Tombstone;Tornado
pathOfLegend,20221109T071450.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,king,#2CQPVQPR0,2,Barbarian Barrel;Battle Healer;Electro Dragon;Elixir Golem;Night Witch;Phoenix;Rage;Tornado
pathOfLegend,20221109T071025.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,3,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,Dark-Knight,#22QU98VU,0,Arrows;Battle Healer;Elixir Golem;Furnace;Mother Witch;Rocket;Tombstone;Witch
pathOfLegend,20221108T230948.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,Moedor☠️,#9PYGGRLPJ,0,Barbarian Barrel;Dark Prince;Electro Giant;Executioner;Heal Spirit;Prince;Tornado;Zap
pathOfLegend,20221108T230447.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,0,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,Edgar,#2P908PGY2,1,Bowler;Earthquake;Electro Giant;Fisherman;Inferno Dragon;Lightning;Phoenix;Tornado
pathOfLegend,20221108T230023.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,HASHIRA,#9VLQ809J,0,Baby Dragon;Dark Prince;Electro Wizard;Elite Barbarians;Goblin Gang;Mega Minion;Royal Giant;Zap
pathOfLegend,20221108T225709.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,Mohamed Oscar,#88VG980YG,0,Bomb Tower;Goblin Gang;Ice Spirit;Miner;Phoenix;Poison;Skeleton King;The Log
pathOfLegend,20221108T225226.000Z,Ranked1v1,CAL RUBÉN,#LPRR9P,1,Barbarian Barrel;Cannon;Electro Giant;Golden Knight;Ice Spirit;Lightning;Phoenix;Tornado,Agar,#UV0PUV20,0,Goblin Giant;Mini P.E.K.K.A;Mirror;Mother Witch;Phoenix;Rage;Sparky;Zap
